epoch,train_loss,val_loss,val_top1,val_top5,epoch_time_seconds,learning_rate,train_samples_seen,val_samples_seen,is_smoke_test
1,0.9530782252770741,0.5588580028067613,0.8405340534053405,0.9761476147614762,83.0841218000005,0.0001,31070,6666,False
2,0.43472131475743886,0.4608244245791986,0.8615361536153615,0.9860486048604861,84.72222490000058,0.0001,31070,6666,False
3,0.31377075654174263,0.4157329432033684,0.870987098709871,0.9891989198919892,84.56823499999882,0.0001,31070,6666,False
4,0.23544577106157222,0.3984811079509259,0.8772877287728773,0.9902490249024902,90.03373830000055,0.0001,31070,6666,False
5,0.17368964191932634,0.4118128235262148,0.8711371137113711,0.9894989498949895,84.59908929999983,0.0001,31070,6666,False
6,0.13259735661647232,0.4145672803763116,0.8820882088208821,0.9905490549054905,85.83253940000031,0.0001,31070,6666,False
7,0.10308489657538014,0.4534150036362031,0.8694869486948695,0.9902490249024902,85.14565010000115,0.0001,31070,6666,False
8,0.08015820457068601,0.45165972825181117,0.8826882688268827,0.9915991599159916,83.90723789999902,0.0001,31070,6666,False
9,0.06714756309669578,0.4578234855205205,0.8835883588358836,0.986948694869487,80.96379149999848,0.0001,31070,6666,False
10,0.06375281619496156,0.4621495384730772,0.8843384338433843,0.987998799879988,75.49395040000127,0.0001,31070,6666,False
1,0.9662114441836037,0.5418544495710195,0.8454845484548454,0.9765976597659766,144.41454758800046,0.0001,31070,6666,False
2,0.43735896708844824,0.45455427762448447,0.864986498649865,0.9855985598559855,143.0172297629997,0.0001,31070,6666,False
3,0.3108750725199181,0.4456418757856411,0.8585358535853586,0.989048904890489,143.2766888010001,0.0001,31070,6666,False
4,0.23409822598353897,0.4032516003888969,0.8760876087608761,0.9893489348934893,146.49211626299984,0.0001,31070,6666,False
5,0.17328468559110208,0.39195106350424197,0.8834383438343835,0.9888988898889889,144.37084453199986,0.0001,31070,6666,False
6,0.1294570423336535,0.3951251804202732,0.8846384638463847,0.98994899489949,145.43239541399998,0.0001,31070,6666,False
7,0.09972579583890154,0.41923782817780203,0.888088808880888,0.9884488448844885,144.229116161001,0.0001,31070,6666,False
8,0.08540088874870917,0.4028831001671806,0.8894389438943895,0.9900990099009901,147.78760424400025,0.0001,31070,6666,False
9,0.06051112551195352,0.41980415267242244,0.8921392139213922,0.989048904890489,145.58815037400018,0.0001,31070,6666,False
10,0.054663483185095924,0.47394926326968023,0.8852385238523852,0.987998799879988,146.4658328459991,0.0001,31070,6666,False
11,0.04991043579609094,0.46738801388242673,0.8873387338733874,0.9878487848784878,146.28360661999977,0.0001,31070,6666,False
12,0.04740872624164461,0.46014157247648846,0.8888388838883888,0.9888988898889889,145.82487720800054,0.0001,31070,6666,False
13,0.039608654762565185,0.4993642541137573,0.8916891689168917,0.9887488748874887,148.52958684899932,0.0001,31070,6666,False
14,0.04080226541208154,0.4834446781682353,0.89003900390039,0.9893489348934893,145.78892263099988,0.0001,31070,6666,False
15,0.031031911975443652,0.5004921455552118,0.8853885388538854,0.9872487248724873,147.51384183400114,0.0001,31070,6666,False
16,0.031540834336050906,0.4996657161661858,0.8882388238823883,0.9870987098709871,146.8355162530006,0.0001,31070,6666,False
17,0.03291457237614038,0.5515256862435797,0.8792379237923792,0.9864986498649865,148.53333677699993,0.0001,31070,6666,False
18,0.02116961961514387,0.5170761241574492,0.8892889288928892,0.9870987098709871,149.00128828800007,0.0001,31070,6666,False
19,0.030552316505472722,0.5216651814247873,0.8910891089108911,0.9882988298829883,150.2845956150013,0.0001,31070,6666,False
20,0.022012027068675707,0.5148518520219885,0.8918391839183918,0.9888988898889889,147.26732126000024,0.0001,31070,6666,False
